filename,activation,valence 
a01 (2).wav,4,2.5
a01 (4).wav,4.5,2
a01 (5).wav,4,3
a01 (6).wav,4,3
a02 (1).wav,4.5,2.5
a02 (2).wav,4,3
a02 (3).wav,3.5,3
a02 (4).wav,4,2.5
a02 (5).wav,4.5,2
a02 (6).wav,3,3
a03 (2).wav,4,2
a03 (3).wav,3.5,2.5
a03 (4).wav,3,3
a03 (5).wav,3.5,2.5
a03 (6).wav,4,2
a04 (1).wav,4,2
a04 (2).wav,4.5,3
a04 (3).wav,4,3.5
a04 (4).wav,4,2.5
a04 (5).wav,5,2
a05 (1).wav,3,3
a05 (2).wav,4,2.5
a05 (3).wav,4,2
a05 (4).wav,3.5,2
a05 (5).wav,3,3
a05 (6).wav,4.5,2.5
a06 (2).wav,4.5,2
a06 (3).wav,4,2.5
a06 (5).wav,4.5,2
a06 (5)b.wav,2,2
a06 (6).wav,4.5,2.5
a07 (1).wav,2,3
a07 (2).wav,3.5,3
a07 (4).wav,4,2.5
a07 (6).wav,4.5,3.5
a08 (2).wav,5,3
a08 (4).wav,5,3
a09 (1).wav,3.5,2.5
a09 (2).wav,4,2
a09 (3).wav,3.5,2
a09 (4).wav,4.5,2
a09 (5).wav,4.5,2
a09 (6).wav,4.5,2
a10 (1).wav,4,3
a10 (3).wav,3.5,1.5
a10 (4).wav,4,2
a10 (5).wav,4.5,1.5
a10 (6).wav,5,2
a11 (1).wav,3,2.5
a11 (2).wav,3.5,2.5
a11 (3).wav,3,3
a11 (4).wav,4,2
a11 (5).wav,4,2
a11 (6).wav,4.5,1.5
a12 (1).wav,2.5,3
a12 (2).wav,4,2.5
a12 (3).wav,3.5,3
a12 (4).wav,4,2.5
a12 (5).wav,4,2
a13 (1).wav,3.5,3
a13 (3).wav,3.5,3
a13 (4).wav,4,2.5
a13 (5).wav,4,3
a14 (2).wav,4.5,3
a14 (3).wav,3.5,3
a14 (4).wav,4,3
a14 (5).wav,4,2
a14 (6).wav,3.5,3
a15 (1).wav,3.5,3
a15 (3).wav,4,2.5
a15 (4).wav,4.5,2
a15 (5).wav,4,2
a16 (1).wav,2,3
a16 (3).wav,2,3
a16 (5).wav,4,2
a16 (6).wav,4,2
a17 (1).wav,3,3
a17 (2).wav,4,2.5
a17 (3).wav,4,1.5
a17 (4).wav,4,2
a18 (1).wav,4,3
a18 (2).wav,4,2
a18 (3).wav,3.5,3.5
a18 (5).wav,4.5,2
a18 (6).wav,4.5,1
a19 (4).wav,4.5,2.5
a19 (6).wav,4.5,3
a20 (1).wav,4,2
a20 (2).wav,5,1
a20 (3).wav,5,1
a20 (5).wav,5,1
d01 (1).wav,2,3
d01 (2).wav,3.5,2.5
d01 (3).wav,3,2
d01 (4).wav,2.5,2
d01 (5).wav,2.5,2
d01 (6).wav,2.5,2
d02 (2).wav,3,3
d02 (3).wav,3,2
d02 (4).wav,3,2
d02 (5).wav,2.5,2
d02 (6).wav,3,3
d03 (01).wav,3,3
d03 (2).wav,3.5,3
d03 (3).wav,3,2.5
d03 (4).wav,3.5,2
d03 (5)b.wav,3,3
d03 (6).wav,3,3
d04 (1).wav,3,3
d04 (2).wav,4,2.5
d04 (3).wav,3.5,2
d04 (4).wav,2,2
d04 (5)b.wav,3,3
d04 (6).wav,3,2.5
d05 (1).wav,3,3
d05 (2).wav,3,2.5
d05 (4).wav,3,2
d05 (5).wav,3,2.5
d05 (6).wav,3,3
d06 (2).wav,3,2.5
d06 (3).wav,2,2
d06 (4).wav,2.5,2
d06 (5).wav,3.5,2
d07 (4).wav,3,2
d07 (5).wav,3,2.5
d07 (6).wav,3,2.5
d08 (1).wav,3.5,1.5
d08 (2).wav,3,2.5
d08 (5).wav,3,3
d09 (1).wav,3.5,3
d09 (2).wav,3,3
d09 (4).wav,3.5,3
d09 (5).wav,3,2.5
d10 (2).wav,4,2
d10 (3).wav,2,2
d10 (4).wav,3.5,3
d10 (5).wav,3,2
d10 (6).wav,3,3
d11 (1).wav,3,3
d11 (2).wav,4,2
d11 (3).wav,1,3
d11 (4).wav,3,2
d11 (5).wav,4,2
d11 (6).wav,2.5,2.5
d12 (1).wav,3,3
d12 (2).wav,3.5,2.5
d12 (3).wav,1.5,2
d12 (4).wav,3.5,2
d12 (5).wav,4,2
d12 (6).wav,3,2.5
d13 (1).wav,3,3
d13 (3).wav,2.5,2
d13 (4).wav,2.5,2
d13 (5).wav,3.5,2
d13 (6).wav,3,3
d14 (3).wav,2.5,2
d14 (5).wav,4,2
d15 (1).wav,2,2.5
d15 (3).wav,3.5,2
d15 (4).wav,3,2
d15 (5).wav,3.5,1.5
d16 (1).wav,4,4
d16 (2).wav,4,3.5
d16 (4).wav,3,3
d16 (6).wav,3,3
d17 (1).wav,4,3
d17 (2).wav,4,2.5
d17 (3).wav,3.5,2.5
d17 (5).wav,3.5,1.5
d17 (6).wav,3,3
d18 (2).wav,3,2.5
d18 (3).wav,2,2
d18 (6).wav,3,2.5
d19 (2).wav,3.5,2.5
d19 (3).wav,3.5,2
d19 (4).wav,2.5,2.5
d19 (5).wav,3.5,2
d19 (6).wav,3,3
d20 (1).wav,5,1
d20 (2).wav,3,2
d20 (3).wav,1,3
d20 (4).wav,3.5,2
d20 (6).wav,3,3
f01 (1).wav,4,3
f01 (2).wav,4,2
f01 (3).wav,4.5,1.5
f01 (4).wav,4.5,2
f01 (5).wav,4,1
f01 (6).wav,4.5,2
f02 (2).wav,4,2
f02 (3).wav,3.5,2
f02 (5).wav,3.5,2
f02 (6).wav,4,1
f03 (1).wav,4,2.5
f03 (4).wav,4,2.5
f04 (1).wav,4,2
f04 (4).wav,4,2
f04 (5).wav,4.5,2
f04 (6).wav,4,1.5
f05 (1).wav,4,2.5
f05 (2).wav,3.5,2
